data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51705,25,444,444,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,"",528,0,green
51705,25,444,444,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,"",546,0,orange
51705,25,444,444,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,"",550,0,red
51705,25,444,444,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,"",563,0,white
51705,25,444,444,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,"",565,0,yellow
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,510,1,black
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,511,1,blue
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,513,1,brown
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,518,1,dark
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,528,1,green
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,546,1,orange
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,550,1,red
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,563,1,white
51706,24,582,582,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Some College,produces,565,1,yellow
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,510,1,black
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,511,1,blue
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,513,1,brown
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,518,1,dark
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,528,1,green
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,546,1,orange
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,550,1,red
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,563,1,white
51707,28,558,558,English,WS,Second,Black,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,565,1,yellow
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51708,18,7,7,English,WS,Fourth,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
